	Subjects	Trial	Delay	RTs						
57	1	57	100	298.8121771						
58	1	58	500	250.1401655						
59	1	59	100	329.3387264						
60	1	60	100	360.9945605						
61	1	61	100	316.5536859						
62	1	62	500	332.5821455						
63	1	63	100	355.3331218						
64	1	64	500	165.1457812						
65	1	65	500	320.702224						
66	1	66	500	277.4864631						
67	1	67	500	342.6075855						
68	1	68	100	304.5289536						
69	1	69	500	340.3218438						
70	1	70	100	303.5436152						
71	1	71	100	281.2867081						
72	1	72	100	297.479778						
73	1	73	100	380.1192854						
74	1	74	500	264.5523421						
75	1	75	100	292.6290415						
76	1	76	100	345.1934149						
77	1	77	100	280.8031831						
78	1	78	500	228.7408875						
79	1	79	100	418.1408524						
80	1	80	100	344.3423671						
81	1	81	100	315.6881912						
82	1	82	500	290.7421936						
83	1	83	500	236.205411						
84	1	84	100	386.7233398						
85	1	85	500	229.5553839						
86	1	86	100	295.0401839						
87	1	87	100	352.4722623						
88	1	88	100	360.9023425						
89	1	89	100	300.2528423						
90	1	90	500	212.4794384						
91	1	91	100	353.1842105						
92	1	92	100	304.8347025						
93	1	93	100	358.8879605						
94	1	94	100	375.4325659						
95	1	95	500	232.1985967						
96	1	96	500	233.0975325						
97	1	97	100	340.2603185						
98	1	98	100	270.5390152						
99	1	99	100	306.9540097						
100	1	100	100	364.8220403						
101	1	101	500	305.8510857						
102	1	102	500	174.4882522						
103	1	103	100	339.2142633						
104	1	104	100	326.5274094						
105	1	105	100	449.1867134						
106	1	106	100	391.2647641						
107	1	107	500	342.2946674						
108	1	108	100	306.9051044						
109	1	109	500	233.1148526						
110	1	110	500	239.4116873						
111	1	111	500	318.5932						
112	1	112	100	354.9676066						
113	1	113	500	296.9710387						
114	1	114	500	170.5914014						
115	1	115	100	362.6892539						
116	1	116	100	369.5737711						
117	1	117	100	337.2700149						
118	1	118	500	269.6914478						
119	1	119	500	216.7197759						
120	1	120	500	332.8285669						
121	1	121	100	321.7219049						
122	1	122	100	308.0579684						
123	1	123	100	347.507986						
124	1	124	100	332.9341348						
125	1	125	100	378.9677742						
126	1	126	500	280.7349777						
127	1	127	500	263.9366039						
128	1	128	500	222.6168808						
129	1	129	100	322.8658412						
130	1	130	500	204.9340842						
131	1	131	500	229.8826472						
132	1	132	500	289.6584744						
133	1	133	100	381.3909401						
134	1	134	500	245.0222911						
135	1	135	100	363.9541544						
136	1	136	100	433.63915						
137	1	137	500	194.1604059						
138	1	138	500	223.3356936						
139	1	139	100	306.4844985						
140	1	140	500	256.7235663						
141	1	141	500	217.6300059						
142	1	142	500	235.497019						
143	1	143	100	295.1643055						
144	1	144	100	321.2743629						
145	1	145	500	280.0223107						
146	1	146	500	213.3690937						
147	1	147	500	222.8340414						
148	1	148	500	225.7775807						
149	1	149	100	440.2559581						
150	1	150	100	390.9884962						
151	1	151	500	288.1051689						
152	1	152	100	289.6875674						
153	1	153	100	316.8452028						
154	1	154	100	307.1104974						
155	1	155	500	249.638831						
156	1	156	500	196.481034						
157	1	157	100	363.3537464						
158	1	158	100	395.1955222						
159	1	159	500	322.6111312						
160	1	160	500	209.4322581						
161	1	161	100	370.8843225						
162	1	162	100	313.8338221						
163	1	163	500	249.6360968						
164	1	164	100	384.1986128						
165	1	165	100	308.5738847						
166	1	166	500	252.9953375						
167	1	167	500	205.3224589						
168	1	168	500	319.8184974						
169	1	169	500	299.4840826						
170	1	170	100	346.546856						
171	1	171	500	221.3484099						
172	1	172	500	376.5109445						
173	1	173	500	269.0765372						
174	1	174	100	442.4347765						
175	1	175	100	374.4434429						
176	1	176	500	249.818191						
177	1	177	500	171.0812996						
178	1	178	500	315.4741004						
179	1	179	100	340.320932						
180	1	180	100	421.983754						
181	1	181	500	262.3512364						
182	1	182	100	408.8535323						
183	1	183	500	208.9734015						
184	1	184	100	320.7770856						
185	1	185	100	388.1510082						
186	1	186	500	314.027818						
187	1	187	100	362.8794752						
188	1	188	100	372.4999835						
189	1	189	500	243.1614864						
190	1	190	100	260.4162303						
191	1	191	500	343.2676058						
192	1	192	100	306.7305615						
193	1	193	500	194.9296295						
194	1	194	500	300.4907419						
195	1	195	500	223.8874951						
196	1	196	500	272.8467829						
197	1	197	100	384.6018836						
198	1	198	500	164.2951389						
199	1	199	100	411.1161894						
200	1	200	500	232.0555562						
201	2	1	100	387.4168835						
202	2	2	100	361.0221317						
203	2	3	500	198.4472106						
204	2	4	500	329.4843689						
205	2	5	500	244.465382						
206	2	6	500	242.3658485						
207	2	7	500	218.0812386						
208	2	8	500	216.0116109						
209	2	9	500	233.7164387						
210	2	10	500	301.4803807						
211	2	11	100	294.8792201						
212	2	12	100	320.1247475						
213	2	13	100	274.1341225						
214	2	14	500	132.4354071						
215	2	15	100	307.9569859						
216	2	16	500	155.6462392						
217	2	17	500	322.4321192						
218	2	18	100	367.3967033						
219	2	19	100	339.9070525						
220	2	20	500	240.318474						
221	2	21	100	349.8531107						
222	2	22	100	317.619198						
223	2	23	100	334.5916253						
224	2	24	500	316.5530416						
225	2	25	100	273.972118						
226	2	26	100	283.4579845						
227	2	27	500	335.7651529						
228	2	28	500	260.6599344						
229	2	29	100	304.0943331						
230	2	30	100	341.8298342						
231	2	31	500	324.8573395						
232	2	32	500	316.0685715						
233	2	33	500	284.0470941						
234	2	34	100	369.934602						
235	2	35	100	370.2477775						
236	2	36	500	227.4584067						
237	2	37	500	184.1599016						
238	2	38	500	200.6129942						
239	2	39	100	352.0900506						
240	2	40	100	249.9925004						
241	2	41	500	305.2155446						
242	2	42	500	279.3824096						
243	2	43	500	221.078659						
244	2	44	100	339.0390772						
245	2	45	500	232.4327861						
246	2	46	500	281.6971425						
247	2	47	100	339.3195608						
248	2	48	500	316.5721032						
249	2	49	500	262.67342						
250	2	50	100	356.4061382						
251	2	51	100	373.4732127						
252	2	52	500	336.6358081						
253	2	53	100	315.2644324						
254	2	54	500	211.6501677						
255	2	55	500	330.8392004						
256	2	56	500	212.3539047						
257	2	57	500	257.4719318						
258	2	58	500	208.883534						
259	2	59	500	258.7782522						
260	2	60	100	301.7765831						
261	2	61	100	243.9877567						
262	2	62	100	488.1766543						
263	2	63	500	233.0194576						
264	2	64	500	290.0003354						
265	2	65	100	344.9656796						
266	2	66	500	256.2824208						
267	2	67	100	335.4592468						
268	2	68	100	358.4955304						
269	2	69	100	373.6224544						
270	2	70	500	215.4363662						
271	2	71	500	275.6003658						
272	2	72	100	280.8789211						
273	2	73	100	341.2369157						
274	2	74	500	269.1209253						
275	2	75	100	323.5595243						
276	2	76	100	352.428794						
277	2	77	100	424.8134768						
278	2	78	500	182.0473536						
279	2	79	100	402.2919275						
280	2	80	100	354.0338677						
281	2	81	500	253.4425438						
282	2	82	100	378.5475607						
283	2	83	100	331.0006837						
284	2	84	100	414.823207						
285	2	85	500	272.7603039						
286	2	86	500	316.2864687						
287	2	87	500	175.5609499						
288	2	88	500	220.4333024						
289	2	89	100	301.7684847						
290	2	90	500	233.6382907						
291	2	91	500	183.2185229						
292	2	92	100	326.1065432						
293	2	93	100	402.9127552						
294	2	94	500	346.808028						
295	2	95	100	330.4639739						
296	2	96	500	255.9081606						
297	2	97	100	328.1219317						
298	2	98	100	340.664534						
299	2	99	100	369.0853664						
300	2	100	500	234.0536806						
301	2	101	100	437.7326645						
302	2	102	500	307.9666004						
303	2	103	500	210.9711631						
304	2	104	500	263.9945303						
305	2	105	100	315.6427414						
306	2	106	100	407.6715203						
307	2	107	100	383.0704981						
308	2	108	500	293.9589063						
309	2	109	100	369.8364094						
310	2	110	100	358.3459253						
311	2	111	500	307.3061662						
312	2	112	100	259.2660386						
313	2	113	500	318.1152112						
314	2	114	500	277.8442414						
315	2	115	500	88.2704657						
316	2	116	500	257.8106945						
317	2	117	100	373.2529513						
318	2	118	100	285.8460875						
319	2	119	100	286.787894						
320	2	120	100	316.6897662						
321	2	121	100	374.0993379						
322	2	122	500	183.9849616						
323	2	123	500	295.5673379						
324	2	124	100	274.1171867						
325	2	125	500	274.0385689						
326	2	126	100	506.0366392						
327	2	127	100	267.9800318						
328	2	128	500	255.5370414						
329	2	129	500	326.5768071						
330	2	130	500	258.5811196						
331	2	131	100	328.1964399						
332	2	132	100	305.5255538						
333	2	133	100	412.1585315						
334	2	134	500	215.192692						
335	2	135	100	407.6163135						
336	2	136	100	480.5061408						
337	2	137	500	335.7340576						
338	2	138	500	249.4662928						
339	2	139	500	246.9852863						
340	2	140	100	361.7544291						
341	2	141	100	252.5544843						
342	2	142	500	315.8448764						
343	2	143	100	431.0841748						
344	2	144	100	377.2872704						
345	2	145	100	367.9643705						
346	2	146	500	273.4743004						
347	2	147	100	254.7945939						
348	2	148	500	278.4804798						
349	2	149	100	316.8011718						
350	2	150	100	345.1247513						
351	2	151	500	133.7348363						
352	2	152	100	366.9721847						
353	2	153	500	292.2376109						
354	2	154	500	248.6154158						
355	2	155	100	276.0924301						
356	2	156	500	287.7935604						
357	2	157	500	231.4143672						
358	2	158	500	314.4477942						
359	2	159	500	256.3591214						
360	2	160	500	210.4471555						
361	2	161	100	375.4758229						
362	2	162	500	248.9315						
363	2	163	100	414.6585964						
364	2	164	100	405.7796299						
365	2	165	100	365.5731161						
366	2	166	500	160.3162016						
367	2	167	500	256.9570751						
368	2	168	500	315.3905112						
369	2	169	500	217.7498278						
370	2	170	500	300.2207267						
371	2	171	100	345.608178						
372	2	172	500	190.1846152						
373	2	173	100	333.9175186						
374	2	174	500	275.8514079						
375	2	175	100	412.9250799						
376	2	176	100	365.5909654						
377	2	177	100	343.8610059						
378	2	178	500	334.4492102						
379	2	179	500	228.6670357						
380	2	180	100	358.3347692						
381	2	181	500	210.2660463						
382	2	182	100	327.0662677						
383	2	183	100	374.1959702						
384	2	184	500	303.7451941						
385	2	185	500	257.6651164						
386	2	186	100	362.1115755						
387	2	187	100	371.7001978						
388	2	188	500	240.8372851						
389	2	189	100	390.4508987						
390	2	190	500	164.189834						
391	2	191	500	270.1958412						
392	2	192	100	357.9491541						
393	2	193	500	199.0161971						
394	2	194	500	236.9575937						
395	2	195	100	378.9359369						
396	2	196	100	309.8228432						
397	2	197	100	239.011592						
398	2	198	100	331.4512725						
399	2	199	100	335.1549976						
400	2	200	100	348.4886827						
401	3	1	100	331.2918372						
402	3	2	500	295.5794845						
403	3	3	500	238.8448925						
404	3	4	100	400.9510492						
405	3	5	100	305.5896877						
406	3	6	100	281.1118547						
407	3	7	500	288.9418435						
408	3	8	100	275.0507416						
409	3	9	100	255.8636389						
410	3	10	100	319.7256332						
411	3	11	500	205.0258971						
412	3	12	500	142.1166989						
413	3	13	100	447.8916117						
414	3	14	500	167.2968906						
415	3	15	500	265.8973338						
416	3	16	500	289.3219008						
417	3	17	100	349.4724185						
418	3	18	100	308.1337327						
419	3	19	500	283.3424023						
420	3	20	100	337.9666033						
421	3	21	100	439.409101						
422	3	22	500	243.2228821						
423	3	23	500	203.5965301						
424	3	24	100	326.041343						
425	3	25	500	294.235473						
426	3	26	500	243.615354						
427	3	27	500	330.9699197						
428	3	28	100	278.6471894						
429	3	29	500	240.954299						
430	3	30	500	140.1000063						
431	3	31	500	259.6039698						
432	3	32	100	315.5037439						
433	3	33	100	298.7813858						
434	3	34	100	306.8624284						
435	3	35	500	249.622158						
436	3	36	100	296.067675						
437	3	37	100	414.3317336						
438	3	38	100	349.2564706						
439	3	39	500	297.6665029						
440	3	40	500	197.3339447						
441	3	41	100	380.078683						
442	3	42	100	338.8876355						
443	3	43	500	253.5845508						
444	3	44	100	394.3270063						
445	3	45	500	311.5473637						
446	3	46	100	435.9154025						
447	3	47	500	235.100283						
448	3	48	500	173.0774453						
449	3	49	500	241.7834052						
450	3	50	500	330.1842154						
451	3	51	500	353.7653925						
452	3	52	500	288.258363						
453	3	53	500	349.3198359						
454	3	54	500	242.6212102						
455	3	55	100	304.9029798						
456	3	56	100	317.3136301						
457	3	57	500	316.7535142						
458	3	58	100	393.2803093						
459	3	59	100	342.8976293						
460	3	60	100	411.8146324						
461	3	61	100	333.7740112						
462	3	62	500	308.2868917						
463	3	63	100	354.3615699						
464	3	64	500	173.9790878						
465	3	65	500	267.0134027						
466	3	66	500	260.2030192						
467	3	67	100	419.5855089						
468	3	68	100	407.049801						
469	3	69	100	301.955958						
470	3	70	500	198.4212979						
471	3	71	500	215.6368355						
472	3	72	100	430.2753767						
473	3	73	500	300.4145719						
474	3	74	500	275.8604828						
475	3	75	500	216.8086645						
476	3	76	100	377.8986855						
477	3	77	100	368.8503371						
478	3	78	500	239.2405723						
479	3	79	100	345.358592						
480	3	80	100	330.1478455						
481	3	81	100	452.7049518						
482	3	82	100	395.4959752						
483	3	83	100	348.0921176						
484	3	84	500	356.7160738						
485	3	85	500	278.7943442						
486	3	86	100	330.0389133						
487	3	87	500	191.1975767						
488	3	88	100	367.0292387						
489	3	89	500	245.6899011						
490	3	90	100	446.3890251						
491	3	91	100	343.4189343						
492	3	92	100	306.7531978						
493	3	93	500	279.7353318						
494	3	94	500	194.5414982						
495	3	95	100	365.9435265						
496	3	96	500	221.49155						
497	3	97	100	332.5477316						
498	3	98	100	293.2465639						
499	3	99	100	302.6540417						
500	3	100	100	289.8458263						
501	3	101	100	408.6479558						
502	3	102	100	399.3778889						
503	3	103	500	261.0356153						
504	3	104	500	344.9555086						
505	3	105	100	337.1408931						
506	3	106	100	398.7532809						
507	3	107	100	433.108126						
508	3	108	100	397.6109449						
509	3	109	500	244.0482243						
510	3	110	500	240.0810875						
511	3	111	100	371.1970298						
512	3	112	100	353.2093286						
513	3	113	500	304.4608717						
514	3	114	500	273.0030382						
515	3	115	500	232.3484848						
516	3	116	500	248.4160767						
517	3	117	100	311.8112675						
518	3	118	100	284.2128825						
519	3	119	100	329.429862						
520	3	120	100	284.4435426						
521	3	121	100	295.1314544						
522	3	122	100	389.5103758						
523	3	123	500	348.9546969						
524	3	124	500	244.3388398						
525	3	125	100	310.9115982						
526	3	126	500	194.3213773						
527	3	127	500	252.4490093						
528	3	128	100	334.8471175						
529	3	129	500	317.1328297						
530	3	130	100	437.2200928						
531	3	131	100	336.1362086						
532	3	132	100	332.9624768						
533	3	133	100	404.7031373						
534	3	134	100	284.210636						
535	3	135	500	188.4082949						
536	3	136	100	300.6706617						
537	3	137	500	227.0336869						
538	3	138	500	387.0513194						
539	3	139	100	387.3189465						
540	3	140	100	416.570588						
541	3	141	100	317.4593121						
542	3	142	100	249.70004						
543	3	143	500	316.2494108						
544	3	144	500	279.9003515						
545	3	145	500	297.767053						
546	3	146	500	136.9556651						
547	3	147	100	349.2350732						
548	3	148	100	406.6755209						
549	3	149	100	369.6305986						
550	3	150	500	228.6010192						
551	3	151	500	276.4367583						
552	3	152	500	351.4301326						
553	3	153	100	284.9885417						
554	3	154	100	388.6023254						
555	3	155	100	332.9914835						
556	3	156	500	174.3176524						
557	3	157	500	285.4045566						
558	3	158	100	385.8669253						
559	3	159	500	193.306821						
560	3	160	500	157.3797398						
561	3	161	500	284.9212337						
562	3	162	100	388.0284371						
563	3	163	500	193.9297133						
564	3	164	500	256.6235877						
565	3	165	100	373.9636643						
566	3	166	500	234.6287074						
567	3	167	500	232.7677706						
568	3	168	500	230.9603083						
569	3	169	100	363.4669926						
570	3	170	500	264.4061421						
571	3	171	100	384.0166022						
572	3	172	500	350.6367093						
573	3	173	100	334.4202108						
574	3	174	500	297.4325183						
575	3	175	500	236.1996934						
576	3	176	500	257.5720369						
577	3	177	100	324.5995287						
578	3	178	500	151.1062063						
579	3	179	100	377.1146035						
580	3	180	500	213.2126705						
581	3	181	500	255.6101457						
582	3	182	500	274.5063292						
583	3	183	100	314.4406064						
584	3	184	500	208.0930844						
585	3	185	100	315.2583352						
586	3	186	500	317.549303						
587	3	187	500	275.5839545						
588	3	188	500	388.2454205						
589	3	189	500	257.4695366						
590	3	190	100	345.6466172						
591	3	191	100	441.7435209						
592	3	192	100	365.0620123						
593	3	193	500	313.064286						
594	3	194	500	293.7592257						
595	3	195	500	202.809677						
596	3	196	500	293.316732						
597	3	197	100	382.3425073						
598	3	198	100	348.9846129						
599	3	199	500	296.7792601						
600	3	200	100	323.3933998						
601	4	1	100	361.236987						
602	4	2	500	291.5536667						
603	4	3	100	347.9077204						
604	4	4	500	185.8270685						
605	4	5	500	223.7764019						
606	4	6	100	312.3233544						
607	4	7	500	194.4055141						
608	4	8	500	206.9722932						
609	4	9	500	210.4854596						
610	4	10	500	286.9522962						
611	4	11	100	442.1357472						
612	4	12	100	345.0957101						
613	4	13	100	422.6176385						
614	4	14	500	288.4006646						
615	4	15	500	195.5383578						
616	4	16	500	251.0462655						
617	4	17	500	201.3088318						
618	4	18	500	204.8402917						
619	4	19	100	307.0257627						
620	4	20	500	240.4457604						
621	4	21	500	227.1419516						
622	4	22	100	452.8226509						
623	4	23	100	453.8314349						
624	4	24	100	401.2522738						
625	4	25	100	301.4784155						
626	4	26	100	250.2343002						
627	4	27	500	306.7398599						
628	4	28	500	305.6555594						
629	4	29	500	218.3057312						
630	4	30	100	348.564633						
631	4	31	500	215.0197788						
632	4	32	500	256.6151299						
633	4	33	100	356.2662327						
634	4	34	100	343.1810974						
635	4	35	500	329.8808365						
636	4	36	100	380.5320835						
637	4	37	500	290.9487129						
638	4	38	100	369.7560119						
639	4	39	500	241.9507112						
640	4	40	100	391.4764107						
641	4	41	100	401.9702409						
642	4	42	100	312.2375489						
643	4	43	100	244.1775197						
644	4	44	100	248.7413887						
645	4	45	100	396.9311135						
646	4	46	100	390.0220405						
647	4	47	500	262.2689609						
648	4	48	100	307.5508837						
649	4	49	100	358.1560143						
650	4	50	500	266.7689604						
651	4	51	500	221.7546873						
652	4	52	500	295.4732323						
653	4	53	500	250.9451334						
654	4	54	100	397.9174142						
655	4	55	500	270.2553079						
656	4	56	500	320.8717341						
657	4	57	500	215.0865876						
658	4	58	100	341.3423789						
659	4	59	500	217.2611191						
660	4	60	100	353.1355986						
661	4	61	100	305.5514818						
662	4	62	500	230.0149197						
663	4	63	500	287.8337178						
664	4	64	500	293.9689318						
665	4	65	100	351.3899659						
666	4	66	500	210.5040233						
667	4	67	100	314.2498143						
668	4	68	500	284.5361756						
669	4	69	100	407.8110052						
670	4	70	100	284.7961842						
671	4	71	500	248.0131453						
672	4	72	100	396.6437344						
673	4	73	500	350.1247907						
674	4	74	100	347.1967833						
675	4	75	500	279.1790371						
676	4	76	100	334.3162948						
677	4	77	100	354.7998682						
678	4	78	100	375.2960964						
679	4	79	100	334.5563639						
680	4	80	100	409.9156865						
681	4	81	100	398.3842443						
682	4	82	100	301.169695						
683	4	83	500	296.277518						
684	4	84	500	190.6633495						
685	4	85	500	289.2155487						
686	4	86	500	274.0096327						
687	4	87	100	301.7905147						
688	4	88	100	332.6284906						
689	4	89	500	251.5771707						
690	4	90	100	342.1612599						
691	4	91	100	330.5718929						
692	4	92	500	234.4080899						
693	4	93	500	356.7860698						
694	4	94	500	217.6155522						
695	4	95	100	330.8585741						
696	4	96	500	258.0975948						
697	4	97	100	338.5380322						
698	4	98	100	394.975579						
699	4	99	100	381.3977107						
700	4	100	100	339.6865507						
701	4	101	500	331.4953508						
702	4	102	500	322.5737366						
703	4	103	100	350.4163523						
704	4	104	500	208.5078844						
705	4	105	100	339.9339989						
706	4	106	100	244.0196946						
707	4	107	100	269.8852197						
708	4	108	500	183.9195466						
709	4	109	500	293.3722439						
710	4	110	100	241.8952313						
711	4	111	500	167.2551302						
712	4	112	500	268.0783309						
713	4	113	500	287.4626253						
714	4	114	100	400.4753093						
715	4	115	100	432.4132383						
716	4	116	500	337.6816536						
717	4	117	500	164.4230006						
718	4	118	500	231.9950442						
719	4	119	500	284.9057652						
720	4	120	500	263.1482269						
721	4	121	100	365.6131329						
722	4	122	100	334.7103548						
723	4	123	100	342.3191559						
724	4	124	100	359.3026978						
725	4	125	500	243.8252714						
726	4	126	500	247.3262784						
727	4	127	500	177.5557988						
728	4	128	100	337.6693316						
729	4	129	500	284.1817417						
730	4	130	100	422.1929571						
731	4	131	500	239.0087265						
732	4	132	100	282.1896065						
733	4	133	100	387.8730493						
734	4	134	100	415.8526719						
735	4	135	100	429.1275887						
736	4	136	100	348.050391						
737	4	137	100	369.2551075						
738	4	138	500	238.7992356						
739	4	139	500	208.090513						
740	4	140	500	289.9822063						
741	4	141	100	350.7354659						
742	4	142	500	246.5114611						
743	4	143	500	224.0856115						
744	4	144	500	308.6558873						
745	4	145	100	347.0162736						
746	4	146	100	364.0302279						
747	4	147	500	307.6078078						
748	4	148	500	311.6971667						
749	4	149	500	232.1597511						
750	4	150	100	329.9174897						
751	4	151	100	399.6459352						
752	4	152	100	355.3544251						
753	4	153	500	271.2310011						
754	4	154	100	396.7715943						
755	4	155	100	378.0961204						
756	4	156	500	291.178982						
757	4	157	500	277.5956056						
758	4	158	500	284.8259593						
759	4	159	500	223.7823127						
760	4	160	100	362.5482089						
761	4	161	100	363.4897015						
762	4	162	100	283.8158641						
763	4	163	100	344.0554056						
764	4	164	500	283.1496464						
765	4	165	100	369.1190928						
766	4	166	500	296.1464184						
767	4	167	100	324.6331418						
768	4	168	500	272.2539482						
769	4	169	100	369.3409756						
770	4	170	100	382.5418771						
771	4	171	500	223.5808469						
772	4	172	500	277.304239						
773	4	173	100	412.4167926						
774	4	174	100	275.7795401						
775	4	175	100	338.9436874						
776	4	176	100	389.6599702						
777	4	177	100	350.9205344						
778	4	178	100	389.5387568						
779	4	179	500	288.681245						
780	4	180	500	225.9004484						
781	4	181	500	192.0765591						
782	4	182	100	359.4315406						
783	4	183	100	308.2055787						
784	4	184	500	256.4142038						
785	4	185	500	306.1201956						
786	4	186	500	240.0206857						
787	4	187	500	219.5213247						
788	4	188	100	411.1966299						
789	4	189	500	239.6209969						
790	4	190	500	150.8682954						
791	4	191	100	425.227772						
792	4	192	500	187.0577971						
793	4	193	100	354.7636321						
794	4	194	500	264.6920344						
795	4	195	500	136.6910919						
796	4	196	100	312.1533639						
797	4	197	500	227.018374						
798	4	198	500	288.3291608						
799	4	199	500	226.4917939						
800	4	200	100	413.5034054						
801	5	1	100	363.8047662						
802	5	2	100	381.3797003						
803	5	3	100	365.3326348						
804	5	4	100	402.5070095						
805	5	5	100	258.328072						
806	5	6	100	343.7251994						
807	5	7	500	188.1905808						
808	5	8	500	321.448796						
809	5	9	100	377.1128733						
810	5	10	100	375.3193107						
811	5	11	500	239.510089						
812	5	12	500	347.3128583						
813	5	13	100	365.1269944						
814	5	14	100	389.6997217						
815	5	15	100	361.48612						
816	5	16	100	353.3504376						
817	5	17	100	391.126851						
818	5	18	100	254.5733837						
819	5	19	500	274.3453203						
820	5	20	500	179.921819						
821	5	21	500	224.6214081						
822	5	22	100	333.7659478						
823	5	23	500	174.4593806						
824	5	24	100	311.1177407						
825	5	25	500	227.8676431						
826	5	26	500	276.4375795						
827	5	27	500	190.6992888						
828	5	28	500	225.2356374						
829	5	29	500	181.7637882						
830	5	30	100	323.2281463						
831	5	31	500	172.4417484						
832	5	32	500	287.0236428						
833	5	33	500	349.2833022						
834	5	34	100	379.0072216						
835	5	35	100	334.515996						
836	5	36	100	378.9210212						
837	5	37	100	357.0372748						
838	5	38	500	201.0136275						
839	5	39	500	132.0504065						
840	5	40	100	411.951045						
841	5	41	100	408.7731729						
842	5	42	100	341.9896797						
843	5	43	500	247.1395201						
844	5	44	500	206.0203706						
845	5	45	100	314.1858435						
846	5	46	100	388.7970169						
847	5	47	500	230.9059066						
848	5	48	100	262.1642912						
849	5	49	500	222.5088252						
850	5	50	100	418.7121314						
851	5	51	500	301.5776996						
852	5	52	500	248.856676						
853	5	53	100	318.8331465						
854	5	54	500	191.0012826						
855	5	55	100	358.6699683						
856	5	56	100	293.2825102						
857	5	57	100	328.2731189						
858	5	58	100	379.2789687						
859	5	59	500	257.8853584						
860	5	60	500	187.1866785						
861	5	61	100	348.7518192						
862	5	62	500	204.6304961						
863	5	63	100	355.2447206						
864	5	64	100	363.5977601						
865	5	65	500	259.6142017						
866	5	66	500	231.6142549						
867	5	67	100	324.936238						
868	5	68	500	273.1368195						
869	5	69	100	462.8846368						
870	5	70	500	202.2767299						
871	5	71	500	230.5358908						
872	5	72	500	164.2677779						
873	5	73	100	296.6474621						
874	5	74	500	274.4266153						
875	5	75	500	199.5071633						
876	5	76	100	333.7331265						
877	5	77	100	344.4436837						
878	5	78	100	346.9025031						
879	5	79	100	418.0494152						
880	5	80	100	405.1573385						
881	5	81	100	338.3502427						
882	5	82	100	373.6165127						
883	5	83	500	297.4157807						
884	5	84	100	355.0194015						
885	5	85	500	229.9253858						
886	5	86	100	312.121467						
887	5	87	100	357.6728737						
888	5	88	500	157.7006729						
889	5	89	500	268.3610338						
890	5	90	500	211.3042406						
891	5	91	100	423.1176536						
892	5	92	500	272.3858979						
893	5	93	500	179.4598015						
894	5	94	500	320.7983123						
895	5	95	500	243.8549115						
896	5	96	500	183.451778						
897	5	97	100	329.2022931						
898	5	98	500	292.4622163						
899	5	99	500	153.7397993						
900	5	100	500	274.6226556						
901	5	101	500	240.9598687						
902	5	102	500	246.8183998						
903	5	103	500	198.044126						
904	5	104	500	221.8707581						
905	5	105	500	236.0493971						
906	5	106	100	345.3851925						
907	5	107	500	283.0345596						
908	5	108	500	228.5650474						
909	5	109	500	307.0916932						
910	5	110	100	427.0763168						
911	5	111	100	376.9063806						
