Date,totaltime,TimeRA,endqualtrics,a1,a2,a3,a4,a5,a6,a7,a8,a9,apercent,v1,v2,v3,v4,v5,v6,v7,v8,v9,vpercent,museumbefore,italybefore,knowledge,labID,gender,age,photoSR,photonumb,attncheck,Day,Day2,condition,Issue?,issuedrop,photo1,photo2,photo3,photo4,photo5,photo6,photo7,photo8,photo9,other,total,PhotoTotal,NPTotal,PhotoCorrect,NPCorrect,PhotoComp,NPComp,photossent,,,
9-Feb,18.52,4:26:00 PM,4:44:31 PM,0,0,0,1,1,1,0,1,1,55.55555556,1,1,0,0,0,0,1,1,1,55.55555556,2,2,1,37108,1,21,1,5,1,Tuesday 2/9,1,photo,0,0,1,0,0,0,0,0,0,0,0,4,5,1,8,100,62.5,100,62.5,1,,,
9-Feb,19.28,1:56:00 PM,2:15:17 PM,1,1,1,1,1,1,1,0,1,88.88888889,1,1,0,0,1,0,1,1,1,66.66666667,2,2,1,37440,2,21,0,.,1,Tuesday 2/9,1,nophoto,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,,,,
10-Feb,22.17,11:03:00 AM,11:25:10 AM,0,1,1,0,1,0,1,0,1,55.55555556,1,1,0,1,1,1,1,0,1,77.77777778,1,2,1,37536,1,22,0,.,1,Wednesday 2/10,2,photo,iPod issue,1,,,,,,,,,,,,,,,,77.77777778,77.77777778,0,,,
9-Feb,17.35,1:39:00 PM,1:56:21 PM,0,1,1,0,1,1,1,0,1,66.66666667,1,1,0,0,1,0,0,1,0,44.44444444,2,2,1,37665,2,21,0,.,1,Tuesday 2/9,1,nophoto,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
9-Feb,17.95,1:37:00 PM,1:54:57 PM,1,1,1,1,0,1,1,1,1,88.88888889,1,1,1,0,1,0,0,1,1,66.66666667,2,2,1,37747,2,22,0,.,1,Tuesday 2/9,1,nophoto,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,,,,
17-Feb,19.40,10:25:00 AM,10:44:24 AM,1,0,0,1,0,1,0,1,0,44.44444444,1,1,1,1,0,0,0,1,0,55.55555556,2,1,3,37781,2,22,0,.,1,Wednesday 2/17,6,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
11-Feb,22.18,12:38:00 PM,1:00:11 PM,1,1,0,1,0,1,0,1,1,66.66666667,1,1,1,1,1,0,0,1,0,66.66666667,2,1,1,37843,2,22,1,10,1,Thursday 2/11,3,photo,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,0,,,
10-Feb,29.82,3:59:00 PM,4:28:49 PM,1,1,1,1,1,1,1,1,1,100,1,1,0,1,1,1,1,1,1,88.88888889,2,1,5,37967,2,20,1,7,1,Wednesday 2/10,2,photo,0,0,,,,,,,,,,,,,,,,88.88888889,88.88888889,0,,,
11-Feb,18.05,4:04:00 PM,4:22:03 PM,0,0,1,1,1,1,1,1,1,77.77777778,1,1,0,0,1,0,0,1,1,55.55555556,2,1,1,38139,1,21,0,.,1,Thursday 2/11,3,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
11-Feb,18.00,2:22:00 PM,2:40:00 PM,1,1,1,0,1,1,1,0,0,66.66666667,1,1,0,1,0,1,1,1,0,66.66666667,2,2,2,38149,2,20,0,.,1,Thursday 2/11,3,nophoto,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,,,,
9-Feb,20.23,10:19:00 AM,10:39:14 AM,1,1,1,1,1,1,1,1,1,100,1,1,0,1,1,1,1,1,1,88.88888889,2,2,2,38179,2,22,1,3,1,Tuesday 2/9,1,photo,0,0,1,0,0,0,0,0,0,0,0,2,3,1,8,100,100,100,100,1,,,
17-Feb,16.23,2:37:00 PM,2:53:14 PM,1,1,1,1,1,1,1,1,0,88.88888889,1,1,0,0,0,0,1,1,1,55.55555556,2,2,1,38284,2,22,0,.,1,Wednesday 2/17,6,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
12-Feb,19.50,3:16:00 PM,3:35:30 PM,1,1,0,0,1,1,1,1,1,77.77777778,1,0,0,1,1,1,1,1,0,66.66666667,2,2,1,38360,2,21,0,.,1,Friday 2/12,4,nophoto,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,,,,
11-Feb,18.80,4:20:00 PM,4:38:48 PM,1,1,1,1,1,1,1,1,1,100,1,1,1,1,0,0,1,1,0,66.66666667,2,1,1,38361,2,20,0,.,1,Thursday 2/11,3,nophoto,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,,,,
10-Feb,29.58,10:27:00 AM,10:56:35 AM,1,1,1,1,1,1,1,1,1,100,1,1,0,1,0,0,0,1,1,55.55555556,2,1,1,38370,2,22,0,.,1,Wednesday 2/10,2,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
17-Feb,24.20,3:43:00 PM,4:07:12 PM,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,0,0,1,1,77.77777778,2,2,1,38515,1,21,1,6,1,Wednesday 2/17,6,photo,0,0,1,1,1,0,0,0,0,0,0,6,9,3,6,100,100,100,100,1,,,
9-Feb,19.78,11:18:00 AM,11:37:47 AM,1,1,0,1,1,1,1,1,0,77.77777778,0,1,0,1,0,0,0,1,0,33.33333333,2,2,1,38531,2,21,0,.,1,Tuesday 2/9,1,nophoto,0,0,,,,,,,,,,,,,,,,33.33333333,33.33333333,,,,
12-Feb,26.23,2:02:00 PM,2:28:14 PM,1,0,1,1,1,1,1,0,1,77.77777778,1,1,0,0,0,0,1,1,0,44.44444444,1,2,2,38642,2,26,0,.,1,Friday 2/12,4,nophoto,didn't bring a phone,1,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
12-Feb,20.10,2:18:00 PM,2:38:06 PM,1,1,1,1,1,1,1,1,1,100,1,1,0,1,1,1,1,1,0,77.77777778,2,1,4,38679,2,22,1,4,1,Friday 2/12,4,photo,0,0,0,1,0,0,0,0,0,0,0,3,4,1,8,100,100,100,100,1,,,
10-Feb,21.05,11:37:00 AM,11:58:03 AM,0,1,1,1,1,1,1,0,0,66.66666667,1,1,0,0,1,1,1,1,0,66.66666667,2,2,1,38688,2,20,1,6,1,Wednesday 2/10,2,photo,0,0,0,0,0,0,0,0,1,0,0,5,6,1,8,100,62.5,100,62.5,1,,,
9-Feb,21.93,12:35:00 PM,12:56:56 PM,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,0,0,1,1,77.77777778,2,2,1,38890,1,23,1,8,1,Tuesday 2/9,1,photo,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,,100,,100,1,,,
11-Feb,18.00,10:24:00 AM,10:42:00 AM,1,1,1,1,1,1,1,1,1,100,1,1,0,0,1,0,1,1,1,66.66666667,2,1,1,38999,2,21,1,7,1,Thursday 2/11,3,photo,0,0,0,1,0,0,0,0,0,0,0,5,7,1,8,100,100,100,100,1,,,
17-Feb,20.63,3:23:00 PM,3:43:38 PM,1,1,1,1,1,1,1,1,1,100,1,0,1,1,0,1,1,0,1,66.66666667,2,2,1,39029,1,22,1,6,1,Wednesday 2/17,6,photo,0,0,1,1,0,0,0,0,1,0,1,3,7,4,5,75,100,75,100,1,,,
10-Feb,21.72,11:03:00 AM,11:24:43 AM,1,1,1,1,1,1,1,1,1,100,1,1,0,1,0,1,0,1,0,55.55555556,2,2,3,39122,1,22,0,.,1,Wednesday 2/10,2,photo,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,0,,,
11-Feb,16.23,11:45:00 AM,12:01:14 PM,1,1,0,1,1,1,1,1,1,88.88888889,1,0,1,0,1,0,0,1,0,44.44444444,2,2,1,39151,1,20,0,.,1,Thursday 2/11,3,nophoto,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
10-Feb,21.42,11:39:00 AM,12:00:25 PM,1,1,1,1,1,1,1,1,0,88.88888889,1,1,0,1,0,0,1,1,0,55.55555556,1,2,2,39178,1,22,1,5,1,Wednesday 2/10,2,photo,0,0,0,0,0,1,0,0,0,1,0,3,5,2,7,100,85.71428571,100,85.71428571,1,,,
12-Feb,21.83,2:02:00 PM,2:23:50 PM,1,1,1,0,1,1,1,1,1,88.88888889,1,1,1,1,1,0,0,1,0,66.66666667,2,2,1,39194,2,20,1,20,1,Friday 2/12,4,photo,0,0,1,1,0,1,0,1,0,0,1,13,20,5,4,60,100,60,100,1,,,
10-Feb,18.30,1:59:00 PM,2:17:18 PM,0,1,1,1,1,1,1,0,1,77.77777778,1,1,1,1,0,1,1,1,1,88.88888889,2,2,1,39214,2,20,0,.,1,Wednesday 2/10,2,nophoto,0,0,,,,,,,,,,,,,,,,88.88888889,88.88888889,,,,
16-Feb,19.82,10:23:00 AM,10:42:49 AM,1,0,0,1,1,1,0,1,1,66.66666667,1,1,0,1,1,1,1,1,0,77.77777778,2,1,1,39241,2,21,1,8,1,Tuesday 2/16,5,photo,0,0,0,1,0,0,0,0,0,0,0,4,5,1,8,100,75,100,75,1,,,
11-Feb,21.32,3:42:00 PM,4:03:19 PM,1,1,1,1,1,1,0,1,1,88.88888889,1,1,0,1,1,0,1,1,1,77.77777778,1,1,1,39292,1,21,1,9,1,Thursday 2/11,3,photo,0,0,,,,,,,,,,,,,,,,77.77777778,77.77777778,0,,,
16-Feb,18.12,1:40:00 PM,1:58:07 PM,1,1,1,1,1,1,0,1,1,88.88888889,0,0,0,1,1,0,0,0,0,22.22222222,2,1,2,39303,1,22,0,.,1,Tuesday 2/16,5,nophoto,0,0,,,,,,,,,,,,,,,,22.22222222,22.22222222,,,,
9-Feb,20.20,11:02:00 AM,11:22:12 AM,1,1,1,0,1,1,1,1,1,88.88888889,0,1,1,1,1,0,0,1,0,55.55555556,2,1,1,39339,1,21,0,.,1,Tuesday 2/9,1,nophoto,0,0,,,,,,,,,,,,,,,,55.55555556,55.55555556,,,,
16-Feb,17.13,3:56:00 PM,4:13:08 PM,1,0,1,1,0,1,0,0,1,55.55555556,1,1,0,0,0,0,1,0,1,44.44444444,2,1,3,39349,2,21,0,.,1,Tuesday 2/16,5,nophoto,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
16-Feb,18.42,4:10:00 PM,4:28:25 PM,1,1,1,1,1,1,0,1,1,88.88888889,1,1,1,1,0,0,1,1,0,66.66666667,2,1,1,39410,2,21,0,.,1,Tuesday 2/16,5,nophoto,0,0,,,,,,,,,,,,,,,,66.66666667,66.66666667,,,,
10-Feb,,,12:03:54 PM,1,0,1,1,0,1,1,0,1,66.66666667,1,1,1,0,1,1,0,1,1,77.77777778,2,1,2,39527,1,22,1,5,1,Wednesday 2/10,2,nophoto,0,0,,,,,,,,,,,,,,,,77.77777778,77.77777778,,,,
10-Feb,13.78,2:34:00 PM,2:47:47 PM,1,0,1,0,1,1,1,1,0,66.66666667,1,1,0,0,1,0,0,0,1,44.44444444,2,2,4,39702,1,21,0,.,1,Wednesday 2/10,2,nophoto,0,0,,,,,,,,,,,,,,,,44.44444444,44.44444444,,,,
