"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30","Q31","Q32","affiliative","selfenhancing","agressive","selfdefeating","age","gender","accuracy"
4,3,3,2,2,4,3,1,3,2,1,2,5,3,5,1,4,3,1,1,5,2,3,3,1,2,1,1,1,5,1,1,3.6,3,2.3,1.5,23,1,80
1,3,1,3,4,4,4,2,3,2,2,2,4,4,5,3,3,2,2,2,5,4,5,1,1,3,1,3,2,3,5,2,4.1,3.1,3.1,2.3,50,2,90
4,3,1,2,2,5,4,2,2,2,2,2,4,3,5,4,4,3,2,2,4,3,4,2,2,3,1,2,4,5,4,2,3,3.4,2.9,2.3,36,2,100
3,4,1,5,4,4,3,4,2,4,2,4,4,3,5,4,2,3,2,3,4,3,3,3,2,4,1,4,3,5,4,3,3.8,3.8,2.6,3.8,70,2,80
1,4,3,4,4,5,4,2,3,1,4,4,5,5,2,4,1,1,3,2,5,2,2,1,1,5,4,3,2,5,2,1,4.5,3.5,3,2.6,17,2,99
1,2,3,4,4,5,-1,3,3,3,2,4,5,4,4,3,1,3,2,2,5,3,4,4,1,4,1,4,2,3,4,3,4.5,3.4,2.5,3.4,16,2,95
4,2,1,1,1,4,2,1,5,1,4,1,1,1,3,5,5,1,2,1,1,5,5,2,5,2,1,1,3,3,3,1,1.4,2.4,2.6,1.6,39,1,87
3,3,2,3,2,3,4,1,3,2,1,2,4,4,4,3,3,3,1,1,4,3,3,2,2,3,1,1,2,4,2,3,3.4,3.1,2.3,2,61,2,73
4,4,3,3,4,2,2,4,2,3,4,4,2,4,4,2,3,4,4,4,3,2,4,4,3,2,4,4,2,2,3,4,3.1,2.9,3.5,3.6,18,2,75
3,4,1,3,2,4,5,1,3,4,1,2,3,4,5,3,3,4,1,1,4,2,3,4,2,4,1,2,5,4,5,2,2.9,3.8,2.8,2.3,44,2,70
3,1,2,2,4,4,4,1,4,1,2,2,4,2,4,4,2,1,4,1,4,4,3,2,2,2,2,2,3,3,5,2,3.5,2.3,3.3,2,29,1,80
2,3,4,5,3,4,4,5,4,3,2,4,5,4,2,1,2,3,4,5,5,2,4,5,1,4,1,3,4,5,4,5,3.8,3.5,3.1,4.1,16,1,83
3,3,2,3,1,2,3,2,4,2,3,3,4,2,4,3,3,2,2,2,3,4,2,3,2,2,1,2,5,3,1,3,2.6,2.5,2.3,2.6,17,2,77
1,5,4,4,4,5,3,4,2,5,5,5,5,5,2,1,1,5,5,4,5,2,1,5,1,5,5,5,2,5,1,4,4.6,4.6,3.3,4,69,1,98
3,4,3,2,4,4,4,3,2,1,3,3,5,3,2,4,2,2,2,1,4,2,2,2,1,3,2,4,2,4,4,2,4.1,2.9,2.8,2.6,20,2,90
3,2,3,4,4,4,3,2,2,1,2,3,3,2,4,4,2,1,4,1,5,3,1,2,2,1,1,1,2,4,4,3,3.9,2.3,2.8,2.5,22,1,85
1,5,4,2,4,4,3,3,2,4,2,4,5,5,1,1,1,4,4,4,4,2,2,3,1,5,4,2,1,5,3,4,4.6,4.3,2.9,2.9,38,2,90
1,5,4,4,3,5,3,2,3,4,5,2,5,5,4,4,1,5,5,1,5,1,2,3,1,4,1,5,4,5,1,3,4.1,4.3,3.1,3,16,1,90
3,1,2,2,2,4,2,1,3,1,2,3,2,2,4,3,2,1,5,2,3,5,3,3,3,3,1,3,4,5,3,2,2.8,2.8,2.8,2.4,24,1,90
1,4,4,2,4,5,4,2,4,2,2,1,5,5,2,5,2,3,4,1,5,2,2,1,1,4,4,4,1,5,2,3,4.4,3.8,3,2.4,26,1,85
1,3,4,3,5,5,4,1,1,3,2,4,5,5,2,4,1,3,4,1,5,4,3,1,1,3,2,4,1,3,4,2,5,3.6,3.1,2.5,27,1,100
2,5,3,2,3,3,5,1,4,2,1,1,5,4,4,4,2,4,2,1,5,2,4,2,1,3,1,1,3,5,4,3,3.9,3.5,3,1.9,23,1,100
3,3,4,4,4,5,4,2,2,2,3,3,5,4,3,4,2,2,4,2,5,4,3,2,1,4,2,2,3,5,4,3,4.1,3.6,3.4,2.8,22,1,80
2,3,3,3,3,5,4,3,4,3,2,3,5,4,5,3,3,2,4,3,4,3,3,2,2,5,1,5,3,5,1,3,3.5,3.8,2.9,3.1,20,2,70
3,1,4,3,3,4,2,2,1,3,2,1,5,2,3,4,3,1,4,1,4,4,2,2,1,3,1,4,3,4,2,2,3.9,2.8,2.5,2.4,26,1,50
3,-1,4,2,3,3,3,4,5,1,2,4,4,3,-1,4,4,1,3,5,4,5,4,1,2,1,4,2,4,5,3,1,2.9,2.4,2.9,2.9,16,1,80
2,1,2,3,3,5,1,1,5,2,5,2,5,5,4,2,3,1,5,1,2,4,5,4,1,4,1,3,4,5,2,1,3.1,3.4,3.1,2.1,14,2,90
4,4,3,1,3,5,1,1,5,1,5,1,5,3,1,5,1,5,4,1,5,1,1,1,1,5,4,5,1,5,1,1,3.9,3.6,2.5,2,20,2,70
2,2,3,3,3,4,3,2,3,2,4,3,4,3,4,3,1,3,2,2,4,4,3,3,1,3,3,3,2,3,3,4,4,3,3.1,2.9,23,1,70
2,4,2,3,5,5,4,4,1,3,2,4,5,3,3,2,2,5,4,3,5,2,1,3,1,4,2,4,2,4,2,3,4.6,3.8,2.5,3.3,40,1,75
2,5,3,2,5,5,3,1,2,3,2,2,5,5,1,5,1,5,4,1,5,1,2,2,1,4,2,2,1,5,4,2,4.8,4.1,2.6,2.1,22,1,95
3,3,3,2,3,4,4,2,2,3,3,3,4,3,3,2,2,2,3,2,4,3,3,2,2,4,3,2,3,4,3,3,3.6,3.3,3.1,2.3,62,1,60
1,4,4,4,5,4,2,4,2,5,5,2,5,3,5,4,1,3,4,2,5,2,2,1,1,4,2,2,1,5,2,3,4.9,3.8,3.3,2.8,51,2,88
5,4,4,4,4,5,5,5,2,5,1,3,5,5,4,3,1,4,3,3,5,4,2,1,1,5,4,4,1,5,2,2,4.3,4.6,3.1,3.1,35,1,90
1,4,3,5,5,5,4,5,1,3,3,4,5,3,2,1,1,3,3,4,5,4,3,3,1,3,1,5,1,3,1,5,5,3.5,2.5,4,22,2,85
4,1,5,4,5,3,1,1,5,1,5,5,1,1,1,1,-1,1,5,1,1,5,3,1,5,1,4,5,1,5,3,3,2.8,2.3,3.4,2.6,20,1,100
2,2,3,2,4,4,4,1,2,3,4,1,5,2,3,4,2,3,4,1,5,2,4,1,1,3,3,2,1,3,3,1,4.5,2.8,3.5,1.6,25,1,75
1,4,2,5,5,5,4,5,1,4,2,4,5,5,4,2,1,4,5,5,5,1,1,3,1,4,2,5,1,5,4,3,5,4,3,4,30,1,95
1,4,1,4,4,4,5,2,2,2,2,4,5,1,5,4,2,2,2,3,5,5,5,5,2,2,1,4,4,4,4,3,4.1,3,3.1,3.6,46,1,90
1,5,2,3,4,4,5,3,4,4,2,4,5,5,5,2,3,4,5,2,-1,5,5,1,1,5,2,2,1,3,2,4,3.6,4.4,3.5,2.6,46,1,90
3,2,3,2,4,4,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.3,3.1,3,2.8,17,2,100
2,4,2,4,5,5,3,2,2,3,2,3,5,4,2,3,1,2,2,1,5,2,2,3,1,3,2,4,1,5,2,3,4.8,3.5,2.1,2.9,30,1,75
2,4,3,3,3,4,4,4,5,2,3,3,5,2,2,2,1,2,3,3,4,1,2,2,1,4,2,4,4,4,1,3,3.6,2.9,2.5,3,22,2,85
3,4,4,4,4,4,3,4,2,2,2,4,5,3,5,3,1,3,4,2,2,4,4,2,1,3,1,5,3,2,1,5,3.9,3.1,3,3.6,22,2,100
3,3,4,2,5,2,4,2,4,1,4,2,4,1,3,4,2,1,4,1,2,1,4,1,2,2,1,3,1,2,2,1,3.6,1.6,3.3,2,14,1,95
3,3,4,4,2,3,2,3,3,2,2,4,2,2,2,2,3,2,4,4,4,2,3,2,4,2,4,2,3,2,2,3,2.8,2.3,2.9,3,40,2,70
1,5,4,3,3,4,4,4,3,2,4,4,5,5,3,4,4,2,1,1,4,4,3,2,1,5,5,1,1,2,4,4,4,3.6,3.5,2.9,29,2,80
2,4,3,3,4,4,4,1,2,2,1,1,5,4,2,5,1,3,3,1,5,4,2,3,1,2,1,1,3,5,4,3,4.4,3.5,2.5,2.3,20,1,95
3,3,4,3,3,2,3,2,3,2,1,4,5,2,3,3,2,2,1,2,5,4,3,2,1,2,3,3,4,3,3,3,3.8,2.5,2.6,2.8,17,1,75
2,3,4,3,3,4,3,2,2,2,3,2,5,3,4,4,2,2,2,2,5,4,3,4,1,2,2,4,3,4,3,2,4.1,3,3,2.9,18,2,9
3,3,5,1,3,5,4,1,2,4,1,4,5,5,5,5,2,1,2,1,5,5,5,5,1,4,1,4,3,2,1,1,4,3.6,3,2.8,18,1,95
1,4,3,5,5,5,3,5,2,3,2,4,5,5,1,1,1,3,5,4,5,1,1,3,1,4,5,4,3,5,1,4,4.6,3.8,2.6,3.8,21,1,90
1,5,5,2,5,5,3,1,2,3,4,2,5,4,2,4,1,3,5,1,5,4,2,2,2,3,4,3,2,3,2,3,4.6,3.8,3.4,2.3,23,1,100
1,4,5,4,5,5,2,3,1,4,2,5,3,4,1,3,1,3,5,3,5,1,1,2,1,5,1,3,1,5,1,3,4.8,3.9,2.3,3.3,16,1,75
2,5,4,4,3,4,3,5,4,2,4,5,5,4,2,1,1,4,3,4,5,1,2,3,1,5,3,3,3,4,3,3,4,3.6,3,3.5,24,1,80
3,1,2,2,3,5,1,3,1,1,1,3,5,3,5,3,2,2,2,2,5,4,5,1,1,2,1,1,4,3,5,3,4,2.6,2.8,2.3,36,2,90
1,5,4,3,4,5,3,2,3,3,4,2,5,4,2,4,3,1,4,1,4,3,3,3,1,4,3,3,2,5,2,3,4.1,3.8,3.1,2.6,23,1,85
2,4,2,4,2,5,3,1,3,5,2,2,3,5,5,4,1,1,4,1,5,2,4,2,2,5,1,4,1,5,1,2,3.9,4,2.8,2.5,42,1,95
1,3,3,3,2,5,3,2,2,3,2,3,5,5,5,4,2,3,3,2,4,4,3,1,1,3,2,1,4,3,3,2,3.9,3.6,3,2.3,27,2,80
5,5,1,1,3,5,5,1,5,4,1,1,3,3,5,5,5,5,1,1,1,3,5,4,2,3,2,3,2,5,5,1,2.3,4.1,3.1,2.1,29,2,100
1,3,4,1,4,5,3,1,2,2,4,1,5,3,2,5,1,3,2,1,4,5,1,1,1,2,4,5,1,5,3,1,4.6,3.5,2.9,2,16,1,100
2,4,4,4,3,4,3,4,2,2,4,2,4,2,3,3,1,2,3,3,5,3,2,3,1,3,2,3,2,4,1,3,4.3,3,2.8,3.1,19,1,80
2,4,3,3,5,4,4,3,1,5,2,3,5,4,4,2,2,4,4,2,5,3,1,4,1,2,2,3,2,4,2,5,4.6,3.8,2.8,3.1,19,2,100
2,3,5,1,4,4,2,1,2,3,4,1,5,4,1,5,1,3,3,1,4,2,1,2,1,3,5,3,1,5,1,1,4.5,3.4,2.8,1.9,26,1,85
4,3,3,4,2,4,4,2,3,2,3,3,5,3,2,4,3,2,3,2,4,4,2,1,1,2,2,2,4,3,2,2,3.3,2.9,2.6,2.5,18,1,80
5,3,4,4,4,-1,3,4,4,3,5,4,5,4,4,3,3,4,5,3,5,3,4,4,3,5,4,4,4,4,4,5,3.1,3.3,4.1,3.9,24,2,98
5,3,4,3,5,5,4,3,2,4,2,4,5,3,3,3,1,5,4,2,5,4,3,2,1,3,4,5,2,5,2,3,4.3,4,3.3,3.1,23,1,90
2,2,4,3,1,2,3,1,5,1,3,1,5,2,2,5,4,1,4,2,4,4,1,1,1,3,4,2,4,2,1,1,3,2.1,2.8,2,20,2,90
1,1,4,3,2,3,5,4,4,3,4,5,5,2,3,2,1,3,5,4,5,5,1,5,1,3,5,4,4,2,1,4,3.9,2.8,3.5,3.9,20,2,90
2,3,1,2,4,4,4,1,2,2,1,3,5,4,5,5,3,2,2,1,5,3,3,2,2,4,1,1,4,4,4,2,3.9,3.3,2.6,2.1,32,2,90
1,3,3,2,4,5,3,2,1,1,2,3,5,2,4,4,1,1,4,2,5,5,2,1,1,4,2,5,1,5,2,2,4.9,3.3,2.8,2.6,20,1,80
2,1,2,1,3,2,5,5,3,3,2,2,4,2,3,3,4,3,2,2,4,4,2,2,2,3,3,3,4,4,3,2,3.3,2.8,2.8,2.5,23,2,90
3,1,3,2,3,5,3,3,2,1,3,2,5,3,3,3,2,1,4,2,4,4,4,4,2,3,1,4,2,5,4,3,3.9,2.9,3.1,2.9,18,1,87
2,3,3,2,4,5,4,3,2,3,2,4,5,2,4,3,1,3,2,2,5,3,3,1,1,3,2,4,1,4,5,1,4.6,3.3,3.1,2.5,46,1,80
4,4,3,2,1,1,2,4,5,3,4,1,3,2,2,4,5,4,2,4,1,4,3,1,2,4,2,3,2,5,2,2,2.1,3.4,2.5,2.6,18,1,85
4,4,1,1,4,4,2,3,2,3,5,5,4,3,1,1,2,2,2,3,5,1,1,3,2,4,1,4,2,5,1,3,3.9,3.3,1.8,2.9,33,1,95
2,4,4,3,5,4,3,4,5,4,4,2,4,4,3,3,1,4,5,2,5,4,2,4,2,4,2,4,2,5,3,3,4,4.1,3.3,3.1,20,1,80
2,3,3,3,4,5,4,2,2,3,3,1,4,3,5,4,3,4,2,1,5,3,4,1,2,3,2,3,3,5,5,2,3.9,3.6,3.5,2.1,26,2,86
1,5,2,2,4,5,4,2,1,4,3,1,5,4,3,4,1,4,5,2,5,2,2,2,1,4,4,3,2,5,2,3,4.8,4.1,3.1,2.4,22,2,88
2,5,4,3,4,4,1,2,2,4,3,3,5,3,1,1,1,4,4,1,4,3,2,2,2,3,3,3,2,4,2,2,4.3,3.8,2.5,2.1,22,1,90
2,4,2,5,2,4,3,4,3,4,1,3,4,1,4,3,2,4,1,4,4,4,3,4,2,4,2,5,3,4,5,4,3.5,3.6,2.6,4,16,2,100
2,4,4,1,4,4,1,4,1,4,4,4,4,3,1,1,1,4,4,4,4,2,2,2,2,4,4,4,1,4,1,2,4.4,3.6,2.6,2.8,32,1,100
5,1,5,1,3,5,5,5,1,5,1,5,3,5,5,3,1,5,3,5,5,5,1,5,1,5,1,3,5,5,5,5,3.5,4.5,3.3,4,26,1,100
2,4,4,3,4,5,3,2,4,5,4,3,3,5,2,3,3,3,5,2,4,3,3,2,3,4,5,4,3,5,1,3,3.3,4.3,3.4,2.8,44,1,95
2,3,2,3,3,3,3,2,2,3,3,3,4,2,4,4,2,2,3,2,4,3,2,1,1,2,3,1,2,4,2,2,4,2.8,2.8,2.3,25,2,90
1,3,3,3,4,4,2,3,2,3,2,3,5,5,3,3,1,2,4,2,5,3,2,2,1,3,5,5,2,5,1,2,4.6,3.5,2.8,2.9,16,1,85
3,2,5,2,2,3,2,2,4,2,4,1,4,2,1,4,4,2,3,1,2,2,1,1,3,2,5,3,3,3,1,3,2.6,2.3,2.8,2.1,15,2,50
1,3,4,3,1,5,2,3,1,3,5,5,-1,3,2,4,1,3,4,3,5,4,2,4,1,3,4,5,1,5,1,4,3.9,3.6,3,3.9,26,2,95
1,5,3,5,4,5,2,2,1,5,2,5,5,5,1,1,1,5,5,1,5,1,1,2,1,5,5,4,2,5,2,4,4.8,4.5,2.6,3,21,1,100
1,2,4,4,5,3,4,1,4,4,2,4,3,2,4,4,1,2,4,1,5,2,4,1,1,4,2,5,2,3,1,2,4.3,2.8,3.1,2.8,19,1,100
2,2,2,2,3,4,4,2,3,3,2,2,5,3,5,4,2,3,2,2,4,3,2,1,1,4,2,4,3,4,4,2,3.9,3.3,2.9,2.4,50,2,90
3,4,3,4,5,4,4,4,2,2,4,4,5,2,5,3,1,1,4,4,5,1,3,4,1,2,4,5,2,5,4,3,4.5,2.6,3.9,3.9,18,2,70
1,5,4,4,5,5,2,3,1,5,4,4,5,5,2,2,1,5,4,2,5,1,1,3,1,5,3,5,2,5,1,3,4.9,4.5,2.6,3.3,37,2,90
4,2,4,3,4,3,4,2,1,4,2,5,5,5,3,3,1,2,5,3,5,2,2,3,1,4,1,4,2,3,1,2,4.4,3.1,2.8,3.1,19,1,90
3,4,1,1,3,5,4,1,4,5,1,3,3,5,5,3,3,5,4,1,4,4,1,2,2,5,3,4,1,5,4,1,3.4,4.8,2.9,2,62,1,85
3,2,4,4,5,2,3,2,3,3,2,3,5,1,4,3,3,2,3,3,4,1,5,3,3,2,4,3,2,2,3,4,3.8,1.9,3.5,3.1,15,1,97
2,3,3,4,4,4,4,3,2,3,1,2,5,5,4,2,2,3,4,2,4,3,3,2,1,4,1,4,3,3,3,4,4.1,3.5,2.9,2.9,20,1,90
1,4,3,5,5,5,4,5,1,5,2,4,5,5,5,3,1,5,4,5,5,2,2,1,-1,4,2,5,5,5,2,3,4.6,4.4,3,3.9,22,1,99
2,4,3,3,4,4,3,2,4,3,2,3,4,3,5,3,2,4,3,2,4,2,3,3,2,4,5,3,3,4,3,3,3.6,3.5,3.4,2.8,45,1,100
2,2,3,3,3,4,4,3,4,3,2,2,4,3,5,4,4,3,3,4,4,4,2,3,1,4,1,2,3,4,4,4,3.4,3.4,3,3.1,19,2,60
2,4,2,2,3,4,5,1,4,1,1,2,4,5,5,5,2,4,1,1,4,1,4,1,2,1,1,3,3,5,5,1,3.5,3.1,3,2,35,2,100
4,1,3,2,1,3,1,1,4,1,1,3,2,2,4,-1,5,1,3,3,3,5,3,1,4,1,1,1,4,3,4,1,1.9,2.1,2.5,1.5,32,2,90
2,4,3,3,2,4,3,3,4,4,3,3,4,3,2,3,2,4,3,3,3,3,2,2,2,3,2,3,3,3,2,3,3.3,3.5,2.5,2.9,18,1,100
3,2,5,3,2,1,2,2,4,2,5,3,4,2,5,2,3,1,4,1,5,5,3,4,3,2,4,3,3,3,2,3,3.1,2.3,3.8,2.6,22,2,90
2,4,4,2,2,5,1,2,3,4,2,2,4,5,5,4,5,5,5,2,5,5,4,3,2,3,1,5,1,5,2,2,3.5,4.5,3,2.8,15,2,80
1,3,2,1,5,4,4,1,1,3,1,2,4,5,5,4,1,2,3,1,5,3,4,1,1,3,1,3,1,2,4,1,4.9,3.1,3,1.8,35,2,90
1,3,3,3,4,3,3,1,5,2,1,3,5,2,2,2,1,1,3,1,5,3,1,2,1,1,2,1,4,4,3,4,4,2.4,2.3,2.1,28,2,90
1,5,1,1,5,5,5,1,1,1,1,1,5,4,5,3,1,1,2,1,5,1,5,2,1,3,1,1,1,5,4,1,5,3.1,3,1.4,49,1,100
2,4,4,4,4,4,3,2,4,2,2,4,5,3,3,3,2,2,4,2,4,4,2,2,2,3,4,4,2,5,2,3,3.9,3.4,3,3,29,2,75
1,2,2,3,4,2,4,2,4,1,2,2,4,1,4,4,2,1,4,1,5,4,2,3,2,1,1,1,2,3,4,4,4,1.9,2.9,2.5,19,1,93
4,3,2,3,2,4,3,2,4,3,2,3,2,3,3,3,4,3,2,2,3,4,2,2,4,3,2,2,4,4,4,2,2.1,3.4,2.5,2.4,44,1,75
1,4,3,2,4,5,4,2,2,2,3,2,5,3,4,5,2,2,4,2,5,3,2,3,1,3,2,2,2,5,2,2,4.5,3.4,3,2.5,25,2,80
5,1,1,3,2,1,5,1,5,2,5,1,2,1,5,5,5,1,3,1,4,2,3,3,4,1,1,1,3,1,3,2,2,1.3,3.3,2.1,21,1,90
1,3,5,4,4,5,1,4,2,3,4,5,5,5,2,2,1,3,5,4,5,2,2,2,1,3,4,5,1,5,1,4,4.8,3.6,3,3.8,24,1,99
2,4,2,2,4,4,3,2,2,3,2,4,4,2,3,2,1,2,4,2,5,2,4,2,2,5,2,4,2,4,3,4,4.3,3.3,2.9,2.8,46,1,95
1,4,3,2,4,4,4,1,2,3,4,2,5,3,2,4,1,3,2,1,5,3,4,1,1,3,2,2,2,5,2,3,4.6,3.5,2.9,2,31,1,100
2,4,3,4,4,4,4,3,4,4,2,2,3,4,5,4,2,3,2,4,5,2,5,2,4,4,2,3,3,5,4,3,3.4,3.8,3.4,3.1,64,1,95
1,4,2,5,1,5,4,3,3,4,2,4,3,2,5,4,3,4,5,2,5,5,3,5,2,5,1,3,4,5,3,2,3.3,4.3,3.1,3.5,38,3,90
3,2,3,3,3,4,2,3,3,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3,2,4,2,3,3,5,2,3,3.4,3.4,2.6,3,22,1,75
1,5,2,2,4,5,4,1,2,4,2,4,5,5,2,3,1,4,4,1,5,2,4,2,2,5,1,2,1,5,2,3,4.6,4.4,2.6,2.3,35,1,80
1,2,4,5,5,5,1,4,4,4,4,4,5,2,2,1,3,2,5,4,4,3,1,5,2,4,5,5,1,4,1,5,4.1,3.3,2.9,4.1,23,1,99
1,5,2,2,4,5,3,2,3,3,4,2,5,4,4,2,2,4,3,2,4,3,4,2,1,3,1,2,2,4,4,1,4.3,3.9,3.1,1.9,30,2,100
1,5,5,1,5,5,2,4,1,3,5,4,5,5,1,1,1,3,5,4,5,2,1,4,1,2,5,3,1,5,1,5,5,3.8,3.1,3.3,21,1,100
2,4,3,4,4,3,4,2,2,4,3,4,4,5,4,2,1,4,5,4,5,1,4,4,1,4,2,4,1,4,2,4,4.5,3.6,3.4,3.5,26,2,93
1,1,2,4,4,4,1,3,1,4,4,4,2,1,1,2,1,4,5,2,4,5,3,3,1,3,5,4,1,2,1,2,4.4,3,2.8,3,18,1,80
2,4,4,3,4,5,3,4,2,4,4,4,4,4,2,1,1,4,3,3,4,3,2,1,2,5,1,4,1,5,2,4,4.3,4.3,2.6,3,36,1,91
2,3,3,4,3,4,2,4,2,3,4,4,4,3,3,2,2,3,4,4,4,4,3,3,2,3,4,4,2,4,2,3,3.9,3.4,3.1,3.5,34,1,100
1,4,4,4,3,5,3,2,3,3,2,2,5,4,4,4,3,2,3,1,4,3,2,2,1,3,3,2,2,3,2,3,4,3.4,2.9,2.5,20,1,75
5,4,4,4,4,5,5,4,2,4,2,5,5,2,1,2,2,2,3,4,5,1,2,2,1,3,2,4,3,4,3,3,3.9,3.1,2.8,3.5,25,1,90
4,5,5,5,3,5,1,2,3,3,5,-1,3,5,1,1,5,4,5,4,5,1,1,1,3,3,5,3,4,5,1,3,2.8,3.9,3,2.4,22,1,78
1,2,1,1,1,4,5,1,2,1,1,1,3,1,5,5,1,1,1,1,5,5,4,1,3,1,1,1,4,5,4,1,3.5,2.5,2.8,1.5,24,2,100
1,4,5,2,4,4,3,4,2,4,4,5,5,5,2,2,1,4,5,4,5,2,1,2,1,5,5,4,1,4,1,4,4.8,4,3.3,3.4,16,1,95
1,4,2,3,5,5,5,1,3,5,2,1,5,5,5,5,1,4,5,1,5,3,2,2,1,5,1,3,1,4,4,1,4.8,4.4,3.3,2.1,20,1,95
2,4,4,3,5,5,3,2,3,4,1,2,4,5,5,4,1,5,3,2,5,4,4,3,1,4,1,3,2,5,2,4,4.4,4.5,2.9,2.9,39,0,95
1,4,4,1,2,5,1,1,1,5,1,3,5,5,5,5,1,5,2,1,5,2,1,1,1,3,1,1,4,5,4,1,4.3,4.3,2.4,1.8,19,2,80
2,3,1,2,5,4,2,1,1,3,4,1,5,2,4,4,1,3,4,2,5,5,5,4,1,4,1,5,1,4,2,3,4.9,3.5,2.9,2.8,18,2,100
4,4,4,4,2,5,3,3,2,1,4,5,2,2,5,2,2,2,3,4,2,4,4,2,2,2,2,3,4,2,3,3,2.8,2.8,3.5,3.3,52,1,90
1,4,3,2,5,5,3,3,1,4,4,3,5,4,3,4,1,3,4,2,5,2,2,2,1,5,2,4,1,5,3,3,5,4,3,2.9,30,2,90
1,4,2,2,4,5,4,3,2,3,4,5,4,4,2,2,1,3,5,3,5,3,2,1,1,5,4,3,2,5,1,3,4.5,4,3,2.8,35,1,85
1,3,2,1,4,5,5,1,2,3,1,3,5,5,2,1,1,3,3,1,5,1,1,2,1,4,2,5,2,5,3,3,4.6,3.6,2.4,2.1,14,1,80
